City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,port douglas,-16.4833,145.4667,21.07,89,31,2.8,AU,1723037334
465,alo,6.5486,4.2686,26.13,75,100,4.31,NG,1723037335
466,daugavgriva,57.0432,24.0361,24.37,64,20,4.12,LV,1723037336
467,yatou,37.15,122.3833,25.65,89,99,1.55,CN,1723037337
468,alaior,39.9303,4.1404,30.86,48,0,5.14,ES,1723037338
469,danilovka,50.3557,44.1168,28.34,33,94,1.25,RU,1723037339
470,suicheng,33.8963,117.9331,27.72,88,97,2.8,CN,1723037340
471,hawkesbury,45.6001,-74.616,19.16,63,100,1.8,CA,1723037341
472,munduk,-8.2687,115.0795,18.35,96,34,1.87,ID,1723037343
473,tual,-5.6667,132.75,25.56,86,100,9.08,ID,1723037344
474,solleftea,63.1667,17.2667,21.92,49,100,3.35,SE,1723037345
475,masterton,-40.9597,175.6575,8.82,94,100,3.06,NZ,1723037346
476,kalamb,19.05,73.95,24.81,83,72,6.02,IN,1723037347
477,laguna de perlas,12.3429,-83.6712,24.05,91,100,4.27,NI,1723037348
478,jinxiang,27.4327,120.6062,27.82,86,91,1.6,CN,1723037349
479,dryden,49.7833,-92.7503,17.16,77,100,5.66,CA,1723037350
480,puerto deseado,-47.7503,-65.8938,2.59,70,31,4.37,AR,1723037351
481,puerto armuelles,8.2833,-82.8667,24.99,93,91,0.45,PA,1723037352
482,panaba,21.2833,-88.2667,26.25,84,100,1.73,MX,1723037354
483,oum hadjer,13.2954,19.6966,30.04,56,100,5.63,TD,1723037355
484,tlahualilo de zaragoza,26.1167,-103.45,24.76,55,100,1.0,MX,1723037356
485,crane,31.3974,-102.3501,27.15,44,0,2.22,US,1723036796
486,revda,56.801,59.9303,16.99,87,100,2.54,RU,1723036759
487,zyrya,40.3661,50.2917,29.05,68,0,11.46,AZ,1723037359
488,correntina,-13.3433,-44.6367,25.69,43,0,3.8,BR,1723037360
489,mahur,25.1667,93.1167,23.04,97,57,1.27,IN,1723037361
490,tulun,54.5611,100.5792,15.57,85,36,0.41,RU,1723037362
491,krasnoye selo,59.7383,30.0894,19.94,77,75,3.0,RU,1723037363
492,san juan,-31.5375,-68.5364,8.25,51,100,4.88,AR,1723037254
493,posto fiscal rolim de moura,-13.0833,-62.2667,29.37,33,0,1.25,BR,1723037366
494,mar del plata,-38.0023,-57.5575,10.29,95,100,4.12,AR,1723036926
495,thomasville,35.8826,-80.082,23.41,96,100,0.45,US,1723037368
496,turgenevo,54.8455,46.3297,23.9,49,99,2.14,RU,1723037369
497,namibe,-15.1961,12.1522,23.6,64,22,5.94,AO,1723037370
498,puerto lopez,4.0845,-72.956,24.3,83,44,1.51,CO,1723037371
499,tirat karmel,32.7617,34.9719,31.75,63,20,4.63,IL,1723037372
500,cajamarca,-7.1638,-78.5003,11.04,71,0,1.03,PE,1723037336
501,stettler,52.3168,-112.7186,9.3,84,93,2.94,CA,1723037374
502,formosa do rio preto,-11.0483,-45.1931,26.98,40,5,4.21,BR,1723037375
503,chifeng,42.2683,118.9636,21.29,79,0,2.66,CN,1723037376
504,kodinsk,58.6881,99.1844,18.68,90,87,1.63,RU,1723037378
505,santa elena de uairen,4.6167,-61.1333,24.0,66,4,0.99,VE,1723037379
506,polyarnyy,69.1989,33.4478,19.79,43,9,1.03,RU,1723037380
507,hobyo,5.3505,48.5268,26.8,73,19,12.3,SO,1723037381
508,harper,4.375,-7.7169,25.17,73,92,4.45,LR,1723037382
509,mawlaik,23.6333,94.4167,24.47,99,100,0.51,MM,1723037383
510,crescent city,41.756,-124.2018,11.58,100,100,0.0,US,1723037384
511,nar'yan-mar,67.6713,53.087,18.43,45,6,4.5,RU,1723037385
512,papao,-17.75,-149.55,24.82,77,0,9.13,PF,1723036836
513,zagora,30.3484,-5.8365,44.06,6,7,7.69,MA,1723037387
514,faya-largeau,17.9257,19.1043,37.13,31,81,3.6,TD,1723037388
515,owando,-0.4819,15.8999,37.35,25,99,1.96,CG,1723037390
516,talara,-4.5772,-81.2719,18.25,82,18,7.46,PE,1723037391
517,bathurst,-33.4166,149.5806,0.54,95,4,1.55,AU,1723037392
518,biltine,14.5333,20.9167,28.25,62,100,2.39,TD,1723037393
